country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,latitude,longitude,Region
Afghanistan,0,0,0,0.0,33.9391,67.71,Asia
Albania,89,132,54,4.9,41.1533,20.1683,Europe
Algeria,25,0,14,0.7,28.0339,1.6596,Africa
Andorra,245,138,312,12.4,42.5063,1.5218,Europe
Angola,217,57,45,5.9,11.2027,17.8739,Africa
Antigua & Barbuda,102,128,45,4.9,17.0747,61.8175,North America
Argentina,193,25,221,8.3,38.4161,63.6167,South America
Armenia,21,179,11,3.8,40.0691,45.0382,Asia
Australia,261,72,212,10.4,25.2744,133.7751,Oceania
Austria,279,75,191,9.7,47.5162,14.5501,Europe
Azerbaijan,21,46,5,1.3,40.1431,47.5769,Asia
Bahamas,122,176,51,6.3,25.0343,77.3963,North America
Bahrain,42,63,7,2.0,26.0667,50.5577,Asia
Bangladesh,0,0,0,0.0,23.685,90.3563,Asia
Barbados,143,173,36,6.3,13.1939,59.5432,North America
Belarus,142,373,42,14.4,53.7098,27.9534,Europe
Belgium,295,84,212,10.5,50.5039,4.4699,Europe
Belize,263,114,8,6.8,17.1899,88.4976,North America
Benin,34,4,13,1.1,6.335,5.6037,Africa
Bhutan,23,0,0,0.4,27.5142,90.4336,Asia
Bolivia,167,41,8,3.8,16.2902,63.5887,South America
Bosnia-Herzegovina,76,173,8,4.6,43.9159,17.6791,Europe
Botswana,173,35,35,5.4,22.3285,24.6849,Africa
Brazil,245,145,16,7.2,14.235,51.9253,South America
Brunei,31,2,1,0.6,4.5353,114.7277,Asia
Bulgaria,231,252,94,10.3,42.7339,25.4858,Europe
Burkina Faso,25,7,7,4.3,12.2383,1.5616,Africa
Burundi,88,0,0,6.3,3.3731,29.9189,Africa
Cote d'Ivoire,37,1,7,4.0,7.54,5.5471,Africa
Cabo Verde,144,56,16,4.0,16.5388,23.0418,Africa
Cambodia,57,65,1,2.2,12.5657,104.991,Asia
Cameroon,147,1,4,5.8,7.3697,12.3547,Africa
Canada,240,122,100,8.2,56.1204,106.3468,North America
Central African Republic,17,2,1,1.8,6.6111,20.9394,Africa
Chad,15,1,1,0.4,15.4542,18.7322,Africa
Chile,130,124,172,7.6,35.6751,71.543,South America
China,79,192,8,5.0,35.8617,104.1954,Asia
Colombia,159,76,3,4.2,4.5709,74.2973,South America
Comoros,1,3,1,0.1,11.6455,43.3333,Africa
Congo,76,1,9,1.7,4.0383,21.7587,Africa
Cook Islands,0,254,74,5.9,21.2367,159.7777,Oceania
Costa Rica,149,87,11,4.4,9.7489,83.7534,North America
Croatia,230,87,254,10.2,45.1,15.2,Europe
Cuba,93,137,5,4.2,21.5218,77.7812,North America
Cyprus,192,154,113,8.2,35.1264,33.4299,Europe
Czech Republic,361,170,134,11.8,49.8175,15.473,Europe
North Korea,0,0,0,0.0,40.3399,127.5101,Asia
DR Congo,32,3,1,2.3,4.0383,21.7587,Africa
Denmark,224,81,278,10.4,56.2639,9.5018,Europe
Djibouti,15,44,3,1.1,11.8251,42.5903,Africa
Dominica,52,286,26,6.6,15.415,61.371,North America
Dominican Republic,193,147,9,6.2,18.7357,70.1627,North America
Ecuador,162,74,3,4.2,1.8312,78.1834,South America
Egypt,6,4,1,0.2,26.8206,30.8025,Africa
El Salvador,52,69,2,2.2,13.7942,88.8965,North America
Equatorial Guinea,92,0,233,5.8,1.6508,10.2679,Africa
Eritrea,18,0,0,0.5,15.1794,39.7823,Africa
Estonia,224,194,59,9.5,58.5953,25.0136,Europe
Ethiopia,20,3,0,0.7,9.145,40.4897,Africa
Fiji,77,35,1,2.0,17.7134,178.065,Oceania
Finland,263,133,97,10.0,61.9241,25.7482,Europe
France,127,151,370,11.8,46.2276,2.2137,Europe
Gabon,347,98,59,8.9,0.8037,11.6094,Africa
Gambia,8,0,1,2.4,13.4432,15.3101,Africa
Georgia,52,100,149,5.4,32.1574,82.9071,Asia
Germany,346,117,175,11.3,51.1657,10.4515,Europe
Ghana,31,3,10,1.8,7.95,1.02,Africa
Greece,133,112,218,8.3,39.0742,21.8243,Europe
Grenada,199,438,28,11.9,12.1165,61.679,North America
Guatemala,53,69,2,2.2,15.7835,90.2308,North America
Guinea,9,0,2,0.2,9.9456,9.6966,Africa
Guinea-Bissau,28,31,21,2.5,11.8037,15.1804,Africa
Guyana,93,302,1,7.1,4.8604,58.9302,South America
Haiti,1,326,1,5.9,18.9712,72.2852,North America
Honduras,69,98,2,3.0,15.2,86.2419,North America
Hungary,234,215,185,11.3,47.1625,19.5033,Europe
Iceland,233,61,78,6.6,64.9631,19.0208,Europe
India,9,114,0,2.2,20.5937,78.9629,Asia
Indonesia,5,1,0,0.1,0.7893,113.9213,Asia
Iran,0,0,0,0.0,32.4279,53.688,Asia
Iraq,9,3,0,0.2,33.2232,43.6793,Asia
Ireland,313,118,165,11.4,53.7798,7.3055,Europe
Israel,63,69,9,2.5,31.0461,34.8516,Asia
Italy,85,42,237,6.5,41.8719,12.5674,Europe
Jamaica,82,97,9,3.4,18.1096,77.2975,North America
Japan,77,202,16,7.0,36.2048,138.2529,Asia
Jordan,6,21,1,0.5,30.5852,36.2384,Asia
